Tweet;Classificação
500 mil pessoas na Paulista, milhares pelo Brasil, milhares de cartazes e faixas em prol da reforma da previdência, MP 870, COAF com Sérgio Moro. E vc mostra esta faixa, beira o mau- caratismo, lixo, lixo de mídia. #Bolsonaro2022;Positivo
A aprovação de reforma justa da previdência é uma necessidade do Brasil. Rodrigo Maia, não deixe nosso país quebrar! ;Positivo
Caro Presidente já passou da hora de virar a página e seguir em frente. Foco no que importa, reforma da previdência, só pra começar.;Positivo
8 argumentos para você derrubar as falácias contra a Reforma da Previdência ;Positivo
Ser contra o que estão roubando, sim #reformadaprevidencia;Positivo
Com reforma da Previdência, Brasil deslanchará, diz Bolsonaro http://www.refugo.hol.es/com-reforma-da-previdencia-brasil-deslanchara-diz-bolsonaro.html;Positivo
PLN 4 APROVADA! AGORA FOCO NA REFORMA DA PREVIDÊNCIA!;Positivo
O povo ñ quer Intervenção. Aqui deixo o pq q brasileiros e mtos portugueses q residem aqui 🙋‍♀️vão as ruas ♡Votação Nominal da MP 870 ♡Reforma da Previdência conforme Min Paulo Guedes ♡Pacote Anti Crime conforme Min Sérgio Moro ♡Lava Toga A Imprensa está toda contra .;Positivo
APROVEM LOGO A PORRA DA REFORMA DA PREVIDÊNCIA CARALHO! Esse dólar tem q abaixar!!!;Positivo
#ReformadaPrevidência é umas das importantes reformas pra q o BR volte a crescer e ter investimentos, mas se nós não nos mobilizarmos e cobramos os políticos a reforma não acontecerá, pois os canalhas de plantão não querem discutir o texto e dar solução, querem boicotar o Brasil.;Positivo
Atenção @RodrigoMaia o povo quer a Reforma da Previdência já ! #EuApoioNovaPrevidencia;Positivo
O Brasil precisa urgente da reforma da previdência e aprovação da lei anticrime de Sérgio Moro , mesmo sabendo que tem muitos que vão lutar contra isso ,torcendo por um Brasil pior ,mas tenho certeza que o povo de bem vai vencer essa luta 🇧🇷🇧🇷🇧🇷 ;Positivo
Quem é contra a reforma da previdência não a leu.;Positivo
Se o Presidente fosse o Haddad? Como Estaria o Brasil? Certamente pior. Então temos que ter mais paciência até porquê as alternativas para resolver as mazelas são duras e impopulares a começar pela Reforma da Previdência.;Positivo
Enquanto tem pautas muito mais importante p aprovação, tipo a reforma da previdência, as 10 medidas contra corrupção., Mas a bosta do Nhô nhô q a merda da metade do congresso o elegeu, fica lá engavetado !!! Tudo p o bem deles e o povão é q espere sua vez. ;Positivo
Quem está contra a Reforma da Previdência proposta pelo Min. Paulo Guedes, está indo contra o Brasil. #NovaPrevidência #ReformaDaPrevidênciaJÁ #NovaPrevidênciaUmTrilhão;Positivo
Caro Deputado José Ricardo, A aprovação da reforma da Previdência é importantíssima para Brasil. Sem ela, todos nós, sucumbiremos. Apelamos. Dep. José Ricardo (PT/AM), aprove a Nova Previdência! O Brasil não pode esperar. @ZeRicardoAM https://mapadaprevidencia.com.br/deputado-jose-ricardo #MapaDaPrevidência;Positivo
Guedes fala dos privilégios que o congresso quer manter. Queremos a reforma da previdência do Paulo Guedes e não aaa dos políticos #ReformaDeUmTrilhao;Positivo
"Esse livro de ecotécnicas que eu tenho desde os 17 anos ensina coisas como ""encontrar água no deserto, erguer uma casa com 1 palmeira, construir uma bomba de batimento, nós em cipós, fabricação de tijolo adobe"" e pode ser muito útil caso a Reforma da Previdência não seja aprovada ";Positivo
Se estamos dependendo da reforma da previdência para o país andar, pq está demorando tanto para os deputados se manifestar.?;Positivo
"Refutar a Nova Previdência, querer o ""toma lá dá cá""? Amigos, caneta e papel nas mãos, anotando o nome de quem não colaborar! Nós exigimos sim a Aprovação da Reforma da Previdência na CCJ amanhã! #BrasilExigeReformaCCJ Não quero o futuro da miséria!";Positivo
#EuApoioLeiAnticrime e a reforma da previdência STFNaoVaiNosCalar ;Positivo
Esse presidente da OAB está contra a evolução do Brasil. Ele é partidário da velha política. É contra a reforma da previdência e pacote anticrime.;Positivo
Para os que são contrários à Reforma da Previdência, agora é só assistirmos ao que vai acontecer com o Estado de Maranhão! Pobres dos nossos irmãos! https://www.facebook.com/srsjesus/posts/2569016879804621;Positivo
Senador, @davialcolumbre , vamos colocar a reforma da previdência em votação. O povo não aguenta mais. O senador @Carlos Viana, está certo, falar sobre o fundão agora é inadmissível. #SenadoAproveAPrevidencia;Positivo
"Eu queria o ALKMIN , mas TIVE q ser PRAGMÁTICO e votei no BOLSONARO P ACABAR c a BANDIDAGEM d VERDADE,inclusive os ""de MENOR"" e principalmente a REFORMA da PREVIDÊNCIA. QUEIMAR FLORESTA é COISA de HOMENS MAUS e MAL intencionados q PRETENDEM pagar PROPINA ou CAMPANHA POLÍTICA.";Positivo
@FlavioDino então, Governador, vai foder o resto do país só por causa da sua estupidez, ou vai fazer o que é certo e apoiar a reforma da previdência?;Positivo
E vai arrumar a economia como, rapaz, com um STF aparelhado. Ou vc não viu o Gilmar Mendes enterrar a pedido do rede a portaria do PR que revogava a obrigatoriedade de balanço em jornal? Com esse STF não vamos conseguir arrumar nada, e até a reforma da previdência, vai parar lá;Positivo
"Atacado? Pqp cobrar o pacote de segurança do Moro e a reforma da previdência virou ataque? Se os políticos dos tempos atuais não sabem conviver com cobranças que abandonem a política! Agora tudo chamam de ""ataque"", sai pra lá com esse papo de esquerdista vitimista.";Positivo
Boa entrevista. Porém, dever-se-ia insistir também na imediata reforma da previdência dos militares e a obrigatoriedade de realização de auditorias nos RPPSs. ;Positivo
Traidores são eles que se elegeram as custas do povo e na onda do bolsonaro, mas n querem pagar o preço! Querem que só o povo prove o remédio amargo! Esse remédio é para TODOS! #ReformaDeUmTrilhao #reformadaprevidencia #AnticrimeVoteSim;Positivo
Estamos de olho! Se continuar com esse tom, criticando quem quer mudar nosso país, nunca mais será eleito. A Reforma da Previdência tem que ser votada na íntegra.;Positivo
Não fazer uma Reforma da Previdência responsável é alimentar o socialismo.;Positivo
Preciso fazer uma nota de parabéns aos profissionais da @radiojovempan @JovemPanNews por publicamente fazerem um ato de coragem ao se posicionar à reforma da previdência do governo de @jairbolsonaro !!! Ao contrário da grande maioria da imprensa, vocês são corajosos e exemplares!;Positivo
só sairei da loucura quando for aprovada a reforma da previdência;Positivo
@RodrigoMaia Vc deveria era criar vergonha na cara de deixar de ser covarde com o povo brasileiro e cuidar em aprovar a reforma da previdência que o presidente @jairbolsonaro encaminhou para camara.;Positivo
"A pagina Política de Verdade entrou na campanha junto com o Vem Pra Rua Brasil, vamos precionar nossos deputados pela aprovação da REFORMA DA PREVIDÊNCIA. Entre e faca sua… https://www.instagram.com/p/BwrVr1UjH7N/?utm_source=ig_twitter_share&amp;igshid=3avg5g04z6ws";Positivo
De novo, quem sabe de economia sabe que no primeiro momento a reforma da previdência vai encolher os recursos do Estado pra daqui há uns anos começar a fazer efeito. E ela sozinha não faz milagre, precisa de um conjunto de ações e políticas públicas pra dar certo;Positivo
"""sem a reforma da previdência o Brasil virará um imenso RJ"" aí não porra, vamo reforma essa merda logo ";Positivo
"Caro ""ass"" acho bom você ser estéril e não ter filhos, pq sendo contra a reforma da previdência seus descendentes estão lascados..";Positivo
Se é para fazer, que faça de uma única vez a reforma da previdência, com o objetivo de obter 1 trilhão conforme descrito pelo @MinEconomia . Assim todos sofrem já e poderemos fazer a capitalização.(cont.);Positivo
Reforma da previdência já! ;Positivo
Concordo! #PacoteAntiCrimeDeMoro Urgente também é a Reforma da Previdência de Guedes ;Positivo
Vc esqueceu de mencionar a reforma da previdência, pacote anti crime, vários decretos. Seja imparcial por gentileza. Acompanhe o que os ministros escolhidos por ele estão fazendo. Pelo jeito vc é mais um que só acompanha pela mídia esquerdista, lamentável...;Positivo
Ao tomar conhecimento das últimas opiniões da deputada, por um momento me questionei: É a mesma pessoa? Sim, é. Pensemos: a Reforma da Previdência é imprescindível e deve acontecer, então, mais dias ou menos dias, veremos a incoerência dos que queriam atrasá-la. O que queriam?;Positivo
Pela aprovacao da reforma da previdencia, crucial para o equilibrio fiscal;Positivo
O Governo quer aprovar a reforma da previdência, Vírgula o Brasil e a maioria dos brasileiros percebem a necessidade da aprovação com a palavra os congressistas eleitos pelo povo principalmente os novatos mas todos deverão ser cobrados sobre o seu posicionamento!!! Aprovação já;Positivo
Reforma da Previdência que é bom nada né? E o cargo de vereador, está honrando todos os dias o mandato (pergunta séria)??;Positivo
O judiciário na Suécia. Vamos compartilhar esse vídeo para nossos juízes verem o que é moralidade? #ReformaDeUmTrilhao #judiciario #verao90 #reformadaprevidencia #1TrilhaoSemPrivilegios;Positivo
A PEC do Teto, em vigor, já é um corte na carne do governo. Reforma da Previdência é mais urgente que a reforma tributária, que também é necessária e virá em seguida.;Positivo
#SenadoAproveAReforma O Brasil precisa voltar a crescer. E a Reforma da Previdência é um ponto chave, essencial para que isso comece acontecer . Então sem mais delongas aprovem logo essa reforma senhores Senadores! 😠👊 ;Positivo
Desejamos que o Sr. Senador esteja lutando pela aprovação da REFORMA DA PREVIDÊNCIA. #SenadoAproveAReforma;Positivo
@jandira_feghali NÃO querida. Arrependimento ZERO. VIVA ESSE GOVERNO. GOVERNO BOLSONARO EXCELENTE NÃO TEM TOMA LA DA CÁ PT E AFINS DESTRUIRAM O PAIS PT DESTRUIU O BRASIL 16 ANOS DE GOVERNO E BRASIL QUEBRADO VIVA A REFORMA DA PREVIDÊNCIA VIVA A POLÍTICA NOVA ;Positivo
"Deus queira que o Relator Samuel Moreira não se renda ao socialismo fabiano; queremos a reforma do GUEDES, e não a do Temer. http://VEJA.com: Guedes diz que deputados ‘abortaram’ a reforma da Previdência. ";Positivo
@davialcolumbre está postergando a reforma da previdência para satisfazer os mais mesquinhos interesses políticos. Ele não está nem aí para os milhões de desempregados que querem ver o Brasil crescendo e gerando emprego e renda novamente! #PrevidenciaOuMorte;Positivo
Espero que estar reforma da previdência pasé logo para o Brasil Voltar a crescer;Positivo
Parabéns ao brasileiros de bem que saíram do descanso merecido após 1 semana de trabalho, para apoiar Bolsonaro, Moro e a Reforma da Previdência!;Positivo
Não recebi a convocação, mas, vou mesmo assim pela: #MP870VotoNominalJa #ReformaDaPrevidência do Paulo Guedes #PacoteAntiCrime do Moro #CPIdaLavaToga #Dia26EuVou;Positivo
MUITO BEM CAPITÃO, A EXTREMA IMPRENSA FAZ MUITO BARULHO PARA DESVIAR O FOCO DO QUE É IMPORTANTE: REFORMA DA PREVIDÊNCIA E PROJETO ANTI CRIME. BRASIL EM FRENTE!!! #DireitaUmTimeSo;Positivo
Senhor Deputado cobra do Rodrigo Maia a liberação e desengavetamento dos Projetos do governo: Lei Anti crime, Reforma da Previdência e CPI Lava Toga. ;Positivo
Mas a culpa é sua e do Centrão q se aliaram e não colocam em pauta a reforma da previdência q vocês bem sabem irá tirar o Brasil do caos econômico fruto do desgoverno petista! Ajude ao Brasil!Pense nos brasileiros desempregados q você não está ajudando com esse ato. #Dia26EuVou;Positivo
Nossos congressistas oportunistas segurando a reforma da previdência. Aos poucos vão conseguindo algumas coisas na base da pressão. E o país que se dane... Hienas!!! ;Positivo
Uns dão valor a pacote anti-crime e reforma da previdência, outros em controvérsias em trocas de mensagens no zap zap.;Positivo
Pois é... isdonque dá! Esses governadores inescrupulosos querem boicotar a reforma da previdência!! Vão ter que arregar. A reforma precisa sair!!;Positivo
GALERA vou dar um conselho bem útil. Vamos nas páginas das redes sociais dos nossos deputados federais e senadores mandar recados avisando que não queremos a reforma da previdência e que estamos de olhos bem abertos para o que eles estão votando para nossa população.;Positivo
Os estados e o DF fecharam consenso sobre a reforma tributária. Todos eles. Excelente notícia simplesmente por dissipar a queda de braço que tivemos na reforma da previdência. A proposta que apoiam não é a de Guedes, é a de Appy, capitaneada por Maia. Bola está com o congresso;Positivo
Vejo que a população compreende a necessidade da #reformadaprevidencia, deseja que o país volte a crescer e reduza o desemprego. Sigo com meu ponto de vista: a reforma é necessária, mas sou contrário a mudanças na aposentadoria rural, no BPC e sou contra a capitalização.;Positivo
Sim, se encaixa e seria ótimo. Mas o que temos para HOJE é a REFORMA DA PREVIDÊNCIA!! Pressão no Senado, o Brasil precisa voltar a crescer. Bom dia! #SenadoAprovaReforma #PrevidenciaOuMorte;Positivo
Olha o naipe de quem é contra a reforma da previdência 🤘🏼 ;Positivo
DEUS É JUSTO! ELE SABE O QUANTO O BRASIL SOFREU NESSAS GESTÕES ANTERIORES. NÓS IREMOS VENCER! #reformadaprevidencia ;Positivo
É contra a reforma da previdência? Então toma aqui uma aula grátis de economia ;Positivo
Dra eu vou prá defender a reforma da previdência, lei anti crime. Invadir o STF é invenção de quem está com medo de Bolsonaro se eleger em 2020, como bem alertou Paulinho da força.;Positivo
Será que a esquerda parará de viver na mentira do orçamento infinito? Será que parará de se dedicar a defender a elite dos servidores públicos fingindo defender pobres e oprimidos? 🧐 Pela Reforma da Previdência ampla e profunda já! 👊♑️🙏 ;Positivo
Que legal, parabéns 👏 Mas agora partiu focar na reforma da previdência. Apoiar diretamente Bolsonaro.;Positivo
Em apoio a LAVA JATO, contra o STF! Aprovação da Reforma da Previdência Já! #Dia7PeloBrasil;Positivo
o maior ANSEIO do povo é: 1- Reforma da Previdência com economia de 1 trilhão, 2- Pacote anticrime do Moro, 3- Impeachment do Gilmar. Não coloque palavras na boca do povo. Preste atenção nos protesto senador e acorda por favor.;Positivo
Sim mas o Rodrigo Maia que você apoiou está prejudicando o Bolsonaro! Já era para ter aprovado a medida provisória da organização dos ministérios o pacote do Moro e a reforma da Previdência ! Ele está do lado do central que quer acabar c o giverno! ;Positivo
Segundo pesquisa Ibope, realizada entre os dias 12 a 15 de abril, 59% dos entrevistados já concordam que é preciso fazer uma reforma da previdência. #boraprevidenciar #novaprevidencia;Positivo
@DepArthurMaia Este deputado disse que nunca recebeu um email de pessoas favoráveis a reforma da previdência...Vamos encher a caixa postal dele. ;Positivo
Dia 26 defenderemos! -Defesa do Pacote anticrime do Min. Sérgio Moro, -COAF no Ministério da Justiça e Segurança Pública. -Defesa da Reforma da Previdência e contra o centrão. #BolsonaroNossoPresidente;Positivo
ATENTOS! Votação da Reforma da Previdência em 2º turno pelo Senado. A análise da proposta está marcada para amanhã - 22/10 - o texto precisa passar mais uma vez pela CCJ antes de ir ao plenário da Casa. Então, vamos ficar de olho e pressionar para que tudo dê certo.;Positivo
Vamos trabalhar pela reforma da previdência e pela lei anticrime;Positivo
Penso q o governo devia começar uma forte agenda de privatizações. Desde que tenham um bom respaldo jurídico, os investidores viriam. Estamos perdendo tempo em esperar a Reforma da Previdência. Ainda faltam 6 votações.;Positivo
Acho que caiu mesmo... Esses dias vi ele metendo o pau na reforma da previdência e dizendo que só fez propaganda pq a emissora mandou, mas é contra! Sendo contra é contra o Brasil e contra o presidente! Canalha , já já se filia ao DEM pra concorrer a prefeitura de sp!;Positivo
Caro amigo @JoseNunesDep Pedimos seu apoio para aprovação da reforma da Previdência! Estamos cientes da necessidade urgente dessa mudança e do fôlego novo que conseguiremos para o Brasil! Não esqueceremos de seu apoio! #OuReformaOuQuebra Maria Cristina;Positivo
A Reforma da Previdência não é milagre, é claro, mas pode ajudar a economia. Então decidam de uma vez, trabalhar até os 65 anos ou, talvez, não ter emprego até lá. 😕;Positivo
PARABÉNS A JOVEM PAN POR SER A 1ª MÍDIA TRADICIONAL, A APOIAR ABERTAMENTE A REFORMA DA PREVIDÊNCIA. 👏 👏 👏;Positivo
Reforma a previdência não pra vcs verem, dps vão reclamar do governo, q as coisas estão caras, as contas aumentaram.....SEM O CARALHO DA REFORMA O PAÍS QUEBRA! Só falando assim pra vcs entenderem.;Positivo
Qual o meu político de estimação? Me informe então como cobrir o rombo da previdência? Minha mãe é professora do estado de Minas gerais e está sem receber 13 e com salários atrasados. Não se pode gastar mais do que se ganha. Por isso sou a favor da reforma.;Positivo
Trago essa breve introdução para lembrar que, antes do negacionismo infantil, devemos sentar à mesa e negociar o que de fato está em jogo: a reforma da previdência e o futuro do Brasil. O governo veio com tudo, mas pelo menos veio na direção certa. +;Positivo
"Amigos, acredito que temos que focar para sermos efetivos. As minhas 3 prioridades que irei cobrar dos parlamentares são: - pacote anti-crime do Moro; - reforma da previdência; - CPI Lava-Toga. Vocês concordam que estas são as prioridades?! #DeputadosAgoraÉComVocês #CPIdaLavaToga";Positivo
“Pensar que não precisamos de Reforma da Previdência, é coisa de internação.” — P. Guedes https://www.insper.edu.br/conhecimento/conjuntura-economica/reforma-previdencia-brasil-em-graficos/;Positivo
Apoiar reforma da previdência é algo necessário, junto da reforma tributária, porém não é o pobre que tem que pagar a conta para manter militar, funcionário público e judiciário com aposentadoria integral.;Positivo
A reforma da previdência no caso, que é a mais urgente, está sendo a provada dentro prazo do governo, está ocorrendo bem, único atraso foi na semana santa, por causa do feriado, resolveram deixar pra próxima semana.;Positivo
Mercosul já estava negociado a 20 anos e agora foi fechado, reforma da previdência do Paulo Guedes atinge sim militares e judiciário porém os DEPUTADOS tiraram policiais e professores, pacote anti-crime não tem nada de inconstitucional e não foi votado pq Maia está segurando ....;Positivo
O Brasil tá muito fudido acho que só a reforma da previdência não resolveria o problema, mas é grande um passo;Positivo
Muito, muito verdadeiro. Nada a impedir que Lei Anticrime e Reforma da Previdência tramitem juntas, ao mesmo tempo. O resto é desculpa esfarrapada. #SomosTodosKajuru;Positivo
Acordei já vi o Foro de São Paulo querendo retomar o poder na América Latina,o Greenpeace admitindo q é uma 💩 ENTÃO MILÍCIA DIGITAl,temos o 2º turno da Reforma da Previdência amanhã? Ou o @davialcolumbre já pisou na bola?Vamos ao trabalho gabinete 🙏;Positivo
Acabei de ver no jornal que levará um ano para analisar a proposta da Reforma da Previdência? Não podemos aceitar essa demora.;Positivo
Falei em Mar qdo postei: Alcolumbre e Maia acertaram aprovar a Reforma da Previdência somente em Outrubro, na certeza q até lá, Bolsonaro seria enxotado da Presidência e a Lava Jato enterrada, com a desmoralização do Ministro Sérgio Moro, com apoio do PT, PSOL, PC do B e Rede.;Positivo
@jairbolsonaro SUGESTÃO: Se os políticos não quiserem aprovar a Reforma da Previdência, quando o dinheiro estiver acabando, a unica solução é somente pagar os benefícios de quem recebe um salário mínimo e mandar os políticos privilegiados ir plantar batatas.;Positivo
Caro professor, como todo já sabemos, a questão da previdência e sim necessária a reforma para um melhor equilíbrio de contas, desta necessidade surgem muitas alternativas para resolução da questão, no entanto acredito que no atual formato apresentado, temos mais soluções...;Positivo
Um aviso para a turma que está secando o governo Bolsonaro se o barco afundar iremos todos juntos para o fundo. Reconheço que reforma da previdência precisa ser corrigida em alguns pontos. O que for bom para o meu país estarei ao lado não importa o partido.;Positivo
Sabias palavras, sim a reforma da previdência pra quem recebe pensão abusivas, não pra quem vive de um salário. https://www.facebook.com/1543000927/posts/10218431299284122/;Positivo
Temos que tomar cuidado, se a reforma da previdência não for aprovada teremos nossos dias de Venezuela por aqui...;Positivo
Sinceramente, achei o pronunciamento do presidente sobre a reforma da previdência na tv DO CARALEO!;Positivo
Quem vê pensa que você tá com essa bola toda!! Se concentra no Gilmar Mendes, deixa os outro assuntos com o restante do pessoal, a reforma da previdência precisa ser aprovada como está, para se ter a economia nescessária, não se atreva a mexer nisso!!!;Positivo
Na moral,o país nessa merda econômica e esses deputados querendo um aparecer mais que outro.Tem gente passando fome, desempregado,se suicidando seus cambadas de filhos da puta.Aprovem logo a reforma da previdência. #DetonaTudoMoro;Positivo
Por que a reforma da previdência seria entregar para banco? Pelo o que entendi, reduzindo o déficit da previdência, diminui a necessidade do governo tomar empréstimo bancário para fechar as contas, o que diminui o lucro dos bancos. Existe um argumento contra isso?;Positivo
A esquerda e todos os atingidos pela reforma da Previdência estarão trabalhando contra , isto demonstra que o Governo está no Caminho Certo. ;Positivo
O custo no final recai sobre toda a nação. Seu argumento é falho e perpetua uma injustiça. A nação brasileira está exigindo uma decisão corajosa e definitiva, e brigas políticas entre ente federados não está entre elas. Reforma ampla, geral e irrestrita!!! #ReformaDaPrevidência;Positivo
Ajudem na campanha 'Reforma da Previdência'! É simples, com um clique vc pode enviar e-mails p/ pressionar todos deputados. Só faltam 19 pessoas para chegar em 2565000 e-mails enviados. Eu fiz a minha parte e preciso de você! http://bit.ly/2HQbIej #PressãoNosDeputados;Positivo
Fica tranquila que a natureza já fez tudo que deveria, para de se esforçar com essa questão e pensa na reforma da previdência, pacote anti-crime, prisao do @ggreenwald, tá bom!! Não se preocupa não, vai por mim. 😎;Positivo
Dia 26 , vamos defender a reforma da previdência e o pacote anti-crime do Sérgio Moro. Não sei porque essa manifestação está incomodando tanta gente. Go Brazil 🇧🇷;Positivo
8 argumentos para você derrubar as falácias contra a Reforma da Previdência ;Positivo
Teve Trump, teve Bolsonaro, teve BOLSOTRUMP, vai ter muro, vai ter reforma da previdência e vcs pode chorar a vontade ;Positivo
"Após a reforma da previdência, a pauta prioritária do país é a aprovação do projeto original anticrime! Nada de descaracterização do pacote com as desculpas “a reforma é do congresso”; “democracia é assim” para proteger bandido. Estamos de olho!! @RodrigoMaia @davialcolumbre";Positivo
Previdência presidente. Queremos a reforma da previdência.;Positivo
Entrei muito rápido no facebook ( reativando) e nada de novo: a velha turminha postando sobre Psol, PT e PC do B contra a reforma da previdência. Para esta gente, quanto pior melhor. Assim voltam como solução em 2022. Obviamente deletei minha conta em seguida.;Positivo
Alô Joice! O PR Jair Bolsonaro é maior que o PSL, que a globolixo e os traidores, todos juntos. Só ontem: Aprovado acordo de Alcântara na Câmara (329 x 86) Aprovada reforma da previdência no Senado (60 x 19) E vem mais por aí...;Positivo
Qual o seu problema? O que @CarlosBolsonaro falou está corretíssimo, pense quanto tempo a reforma da previdência está para ser votado e ainda não terminou, ainda falta 1 mês para terminar @ClaudiapDutra , ela começou a ser votada em fevereiro.;Positivo
Tá pouco! Vamos fazer uma Reforma da Previdência, gente! 🍊🍊👉👌 ;Positivo
Vamos jogar essa louca no ostracismo. Vamos ignorá-la! Nosso foco é Reforma da Previdência. Temos que barrar essa injustiça com o povo brasileiro. A Ajudante de Palco da BOZOLÂNDIA Damares que se lasque!;Positivo
Nossa tão querendo votar se é crime a vaquejada? É isso mesmo? Caraca, votem a Reforma da Previdência pelo amor de Deus por isso o Brasil não vai pra frente... Depois vocês votam isso! #ReformaDeUmTrilhao;Positivo
Apenas para enriquecimento do debate construtivo, sempre que alguém contrário a reforma da previdência usar a Grécia como exemplo de como a farra de direitos e baixa austeridade não prejudicam o cidadão, mostrem esse link pra ele(a) https://en.m.wikipedia.org/wiki/Greek_austerity_packages;Positivo
Deputado não atrapalhe a reforma da previdência de Paulo Guedes. Se atrapalhar, o senhor será mais um responsável pela destruição da economia brasileira.;Positivo
... #ReformaDaPrevidencia #EuApoioNovaPrevidencia #euapoiobolsonaro #euapoiopauloguedes;Positivo
Por isso a necessidade da reforma da previdência sem isso não terá dinheiro pra educação. ( e o papai já arrumou a trouxa pra cadeia? );Positivo
Em 1º lugar, é vitória de Bolsonaro que teve coragem p/enfrentar os problemas do Brasil, chamou Paulo Guedes que nos deu o caminho c/a Reforma da Previdência, e fez entender que recairá sobre o Legislativo a culpa por não fazer a reforma, pq sabiam que precisava mas nunca fizeram ;Positivo
Vamos trabalhar junto aos parlamentares catarinenses para aprovar a Reforma da Previdência governador. O Brasil precisa de reformas.;Positivo
Quer ajudar na economia, ajuda na reforma da previdência. Pra você não faz diferença se o alimento ficar barato, mas pra quem precisa faz.;Positivo
#Povonasruas #PELASREFORMAS #PeloBrasil #MP780 #VOTONOMINAL #LavaToga #PecDaBengala #reformadaprevidencia PacoteAntiCrimeMoro #Povonasruas #PeloBrasil #Apoio LavaJato;Positivo
Funcionário público contra reforma da previdência, significa que quer que os políticos continuem com sua aposentadoria especial e a elite só funcionalismo público recebendo acima do teto, enquanto eles estão na merda. Parabéns! #EuApoioNovaPrevidencia;Positivo
Reforma da Previdência deve gerar economia de R$1,1 trilhão em 10 anos ;Positivo
reformas econômicas, que estimulem a produtividade, para recolocar o Brasil de volta ao caminho do desenvolvimento econômico e da prosperidade. Um programa de ajuste fiscal centrado em (a) reforma da Previdência, (b) avaliação e aperfeiçoamento de políticas públicas, (+);Positivo
Desde FHC que se tenta aprovar uma Reforma da Previdência, mas grande parte da mídia canalha continuará dizendo que Bolsonaro não sabe fazer “articulação politica”. E detalhe que a Reforma foi aprovada sem Mensalão;Positivo
Bom, a Reforma da Previdência até hj está parada no Senado. Deputada, ando desacreditando no CN. Torço muito, tmb, pelo Pacote Anticrime. E que tudo de certo. 💚💛💚💛💚💛💚💛💚💛❤;Positivo
Indignada com um troço desse. Reforma da Previdencia já. ;Positivo
O Fantástico falando que o governo deu dinheiro para os parlamentares aprovarem a Reforma da Previdência como se isso fosse a coisa mais normal (e legal) do mundo. Precisamos urgente é de uma Reforma da Presidência, só acho;Positivo
